"name","price_range","stars","neighborhood","business_id","hours","is_open","address","review_count","longitude","latitude","postal_code","cuisine"
"Chick Fiesta","1","4","Scarborough","AIasveRX0245WeAH0C46Uw","""""""['Monday 11:0-22:0', 'Tuesday 11:0-22:0', 'Wednesday 11:0-22:0', 'Thursday 11:0-22:0', 'Friday 11:0-23:0', 'Saturday 11:0-23:0', 'Sunday 11:0-22:0']""""""","1","""""""699 Markham Road, Unit 1""""""","10","-79.22569387","43.76163979","M1H 2R5","African"
"Pero Restaurant & Lounge","2","4","Christie Pits","DD_dSlQKcln7VXbN1qxcLA","""""""['Tuesday 17:0-0:0', 'Wednesday 17:0-0:0', 'Thursday 17:0-0:0', 'Friday 17:0-2:0', 'Saturday 17:0-2:0', 'Sunday 17:0-2:0']""""""","1","812 Bloor Street W","37","-79.4227388","43.6627952","M6G 1L9","African"
"Lucy Ethiopian Kitchen","2","4.5","The Danforth","efFIGYJDnqPnjXlASxF7PQ","""""""['Monday 14:0-2:0', 'Tuesday 14:0-2:0', 'Wednesday 14:0-2:0', 'Thursday 14:0-2:0', 'Friday 14:0-2:0', 'Saturday 14:0-2:0', 'Sunday 14:0-2:0']""""""","1","1690 Danforth Avenue","44","-79.3207142","43.6841128","M4C","African"
"Ethiopiques","2","3.5","Downtown Core","GNEjlH_KssnJVRtqV4hAiw","""""""['Monday 16:30-22:30', 'Tuesday 16:30-22:30', 'Wednesday 16:30-22:30', 'Thursday 11:30-23:30', 'Friday 11:30-23:30', 'Saturday 11:30-23:30', 'Sunday 16:30-22:30']""""""","1","227 Church Street","82","-79.3770428","43.6563421","M5B 1Y7","African"
"Nazareth Restaurant","1","4","Dovercourt","iZJ5pdY558VodrEumGyVug","""""""['Monday 15:0-0:0', 'Wednesday 15:0-0:0', 'Thursday 15:0-0:0', 'Friday 15:0-23:0', 'Saturday 15:0-23:0', 'Sunday 15:0-23:0']""""""","1","969 Bloor Street W","193","-79.4287374","43.6611938","M6H 1L7","African"
"Lalibela Ethiopian Restaurant","2","3.5","Bickford Park","KUlm5OuKYJ6nGj0EUwcY9w","""""""['Monday 10:0-2:0', 'Tuesday 10:0-2:0', 'Wednesday 10:0-2:0', 'Thursday 10:0-2:0', 'Friday 10:0-2:0', 'Saturday 10:0-2:0', 'Sunday 10:0-2:0']""""""","1","869 Bloor Street W","85","-79.4248298","43.6620391","M6G 1M4","African"
"Hirut","2","4","The Danforth","Lpbo9wYj4pu58vJ7tlh-4w","""""""['Tuesday 17:0-23:0', 'Wednesday 17:0-23:0', 'Thursday 17:0-23:0', 'Friday 17:0-23:0', 'Saturday 12:0-22:0', 'Sunday 12:0-22:0']""""""","1","2050 Danforth Ave","13","-79.3138254","43.6856017","M4C 1J6","African"
"Patois Toronto","2","3.5","Little Italy","N0l4hT7UCywbZ9UEZ1R9kQ","""""""['Tuesday 17:0-23:0', 'Wednesday 17:0-23:0', 'Thursday 17:0-23:0', 'Friday 17:0-23:0', 'Saturday 17:0-23:0', 'Sunday 17:0-23:0']""""""","1","794 Dundas Street W","164","-79.4081952","43.6519763","M6J 1V1","African"
"Xawaash","2","4.5","Etobicoke","pTbkdBDDKxNVjKUZ_6RAug","""""""['Monday 11:0-22:0', 'Tuesday 11:0-22:0', 'Wednesday 11:0-22:0', 'Thursday 11:0-22:0', 'Friday 11:0-23:0', 'Saturday 11:0-23:0', 'Sunday 12:0-22:0']""""""","1","""""""130 Queens Plate Drive, Unit 1""""""","58","-79.5928659","43.7152799","M9W","African"
"Very Peri Chicken","2","4","Scarborough","PGde9ygfV_a5oLQDNVedJg","""""""['Monday 11:0-22:0', 'Tuesday 11:0-22:0', 'Wednesday 11:0-22:0', 'Thursday 11:0-22:0', 'Friday 11:0-23:0', 'Saturday 11:0-23:0', 'Sunday 11:0-22:0']""""""","1","3551 Sheppard Avenue E","13","-79.3002239","43.7804734","M1T 3K8","African"
