name,price_range,stars,neighborhood,business_id,hours,is_open,address,review_count,longitude,latitude,postal_code,cuisine
Fry Haus,1,4.5,Cabbagetown,sCxrjkhpj2MIrUtgh-64Mw,"""""""['Monday 11:0-21:0', 'Tuesday 11:0-21:0', 'Wednesday 11:0-21:0', 'Thursday 11:0-21:0', 'Friday 11:0-21:0', 'Saturday 12:0-21:0']""""""",0,"""""""296 Gerrard Street E, Suite A""""""",9,-79.36673889,43.66209232,M5A 2G7,Taiwanese
Yummy Zone,1,3.5,Discovery District,sXKDj1yjfWkwhx5AxrgdBw,"""""""['Monday 11:0-20:30', 'Tuesday 11:0-20:30', 'Wednesday 11:0-20:30', 'Thursday 11:0-20:30', 'Friday 11:0-20:30', 'Saturday 12:0-20:0', 'Sunday 12:0-20:0']""""""",1,895 Bay Street,13,-79.3863982,43.6631782,M5S 3K6,Taiwanese
Bubble Republic on Bay,1,3.5,Downtown Core,_PqvLxLW1uZJlJZzGMWErQ,"""""""['Monday 12:0-23:0', 'Tuesday 12:0-23:0', 'Wednesday 12:0-23:0', 'Thursday 12:0-23:0', 'Friday 12:0-23:0', 'Saturday 12:0-23:0', 'Sunday 12:0-23:0']""""""",1,637B Bay Street,20,-79.3838421,43.6569163,M5G 1M7,Taiwanese
Flaming Bull,3,3,The Annex,BwbPzuEuIN_oFmNRJIgHlg,"""""""['Monday 17:0-21:30', 'Tuesday 17:0-21:30', 'Wednesday 17:0-21:30', 'Thursday 17:0-21:30', 'Friday 17:0-22:0', 'Saturday 12:0-22:0', 'Sunday 12:0-21:30']""""""",1,378 Bloor Street W,29,-79.4062449,43.6662923,M5S 1X2,Taiwanese
Chopsticks House,2,4,Downtown Core,Veh0kB2ErSaKsH5v6o7nwQ,"""""""['Monday 11:0-22:0', 'Tuesday 11:0-22:0', 'Wednesday 11:0-22:0', 'Thursday 11:0-22:0', 'Friday 11:0-22:0', 'Saturday 11:0-22:0', 'Sunday 11:0-22:0']""""""",1,6B Wellesley Street W,14,-79.3851073,43.664923,M4Y 1E7,Taiwanese
Dessert Guru,2,2.5,Downtown Core,ln_sQpaOjtAW5bm5SIp6rw,"""""""['Monday 12:0-23:30', 'Tuesday 12:0-23:30', 'Wednesday 12:0-23:30', 'Thursday 12:0-23:30', 'Friday 12:0-23:30', 'Saturday 12:0-23:30', 'Sunday 12:0-23:30']""""""",1,"""""""29 Saint Joesph Street, Suite B""""""",7,-79.3868721,43.6657952,M4Y 1J9,Taiwanese
Mabu Station,2,3,Willowdale,XmltVNUCIIU0wJoRfdxscw,"""""""['Monday 12:0-1:0', 'Tuesday 12:0-1:0', 'Wednesday 12:0-1:0', 'Thursday 12:0-1:0', 'Friday 12:0-2:0', 'Saturday 12:0-2:0', 'Sunday 12:0-1:0']""""""",1,5460 Yonge Street,23,-79.4145612,43.7772696,M2N 5S1,Taiwanese
Chatime - Yonge & College,1,3.5,Downtown Core,YHXczxm4W3BkGT-z7vZBBw,"""""""['Monday 11:0-0:0', 'Tuesday 11:0-0:0', 'Wednesday 11:0-0:0', 'Thursday 11:0-0:0', 'Friday 11:0-0:0', 'Saturday 11:0-0:0', 'Sunday 11:0-0:0']""""""",1,439 Yonge Street,31,-79.3827591,43.6610723,M5B 1T3,Taiwanese
Real Fruit Bubble Tea,1,2.5,Scarborough,vOdY5xomz8nNX756zNYQxQ,"""""""['Monday 10:0-21:0', 'Tuesday 10:0-21:0', 'Wednesday 10:0-21:0', 'Thursday 10:0-21:0', 'Friday 10:0-21:0', 'Saturday 9:30-18:0', 'Sunday 12:0-17:0']""""""",1,85 Ellesmere Road,3,-79.3132716,43.75807896,M1R 4C1,Taiwanese
Cha Me Cha,1,2.5,Willowdale,tmxFZfbJO0ZF7oYm2B3VMg,"""""""['Monday 15:0-0:0', 'Tuesday 15:0-0:0', 'Wednesday 15:0-0:0', 'Thursday 15:0-0:0', 'Friday 15:0-0:0', 'Saturday 15:0-0:0', 'Sunday 15:0-0:0']""""""",0,5369 Yonge Street,15,-79.4143877,43.7755208,M2N 5R6,Taiwanese
Moo Beef Noodle House,1,3,Scarborough,cilz3zHyydAG2kYjbNdrFg,"""""""['Monday 11:0-22:0', 'Tuesday 11:0-22:0', 'Wednesday 11:0-22:0', 'Thursday 11:0-22:0', 'Friday 11:0-23:0', 'Saturday 11:0-23:0', 'Sunday 11:0-22:0']""""""",0,633 Silver Star Boulevard,9,-79.299855,43.824546,M1V 5N1,Taiwanese
Tealicious Tea House,1,3,Scarborough,KvfaPsLlpOZAF276Lpvm4w,"""""""['Monday 13:0-0:0', 'Tuesday 13:0-0:0', 'Wednesday 13:0-0:0', 'Thursday 13:0-0:0', 'Friday 13:0-1:30', 'Saturday 13:0-1:30', 'Sunday 13:0-0:0']""""""",1,"""""""3278 Midland Avenue, Unit D110""""""",34,-79.2878441,43.8058597,M1V 4A1,Taiwanese
Sugar Marmalade,1,3,Willowdale,bejxx0XrZ6Ogv-o-3InELA,"""""""['Monday 12:0-2:0', 'Tuesday 12:0-2:0', 'Wednesday 12:0-2:0', 'Thursday 12:0-2:0', 'Friday 12:0-3:0', 'Saturday 12:0-3:0', 'Sunday 12:0-2:0']""""""",1,5322 Yonge Street,102,-79.41402551,43.77328447,M2N 2N1,Taiwanese
Mean Bao,1,3.5,Niagara,OUB81Dpb6m7HjW4ZmeSlmw,"""""""['Monday 11:0-21:0', 'Tuesday 11:0-21:0', 'Wednesday 11:0-21:0', 'Thursday 11:0-23:0', 'Friday 11:0-23:0', 'Saturday 11:0-23:0', 'Sunday 11:0-21:0']""""""",1,167 Bathurst Street,61,-79.4037555,43.6465917,M5V,Taiwanese
Hot Star Large Fried Chicken,2,3.5,Downtown Core,e6UDJBEIoXBbnXtdwkqIGA,"""""""['Monday 11:0-23:0', 'Tuesday 11:0-23:0', 'Wednesday 11:0-23:0', 'Thursday 11:0-23:0', 'Friday 11:0-23:0', 'Saturday 11:0-23:0', 'Sunday 11:0-23:0']""""""",1,374A Yonge Street,153,-79.3822447,43.6588052,M5B 1S6,Taiwanese
Comebuy Teashop,3,3.5,Entertainment District,nc2ToNeakcNlFOggSuh0SQ,"""""""['Monday 11:0-23:0', 'Tuesday 11:0-23:0', 'Wednesday 11:0-23:0', 'Thursday 11:0-23:0', 'Friday 11:0-23:0', 'Saturday 11:0-23:0', 'Sunday 11:0-23:0']""""""",0,238 Queen Street W,9,-79.39020809,43.65005489,M5V 1Z9,Taiwanese
TenRen Tea,1,2,Willowdale,3MGBjyl6zMdIx5idpgDciQ,,1,"""""""5095 Yonge Street, Unit A2""""""",3,-79.4121421,43.7687386,M2N 6Z6,Taiwanese
Tí©,2,4,Ossington Strip,zHNk2BnANwkvHvaXD7yYsg,"""""""['Monday 16:0-23:0', 'Tuesday 11:0-22:0', 'Wednesday 11:0-22:0', 'Thursday 11:0-23:0', 'Friday 11:0-0:0', 'Saturday 11:0-0:0', 'Sunday 11:0-22:0']""""""",1,70 Ossington Avenue,16,-79.419686,43.64576,M6J 2Y7,Taiwanese
Sharetea,1,4,Willowdale,#NAME?,"""""""['Monday 13:0-0:0', 'Tuesday 13:0-0:0', 'Wednesday 13:0-0:0', 'Thursday 13:0-0:0', 'Friday 12:0-0:30', 'Saturday 12:0-0:30', 'Sunday 12:0-0:0']""""""",1,"""""""15 Northtown Way, Unit 22""""""",43,-79.413432,43.775339,M2N 7A2,Taiwanese
Sharetea,1,4,Scarborough,Rr3ZlPEo70TxT2e_A47y9g,"""""""['Monday 12:0-23:0', 'Tuesday 12:0-23:0', 'Wednesday 12:0-23:0', 'Thursday 12:0-23:0', 'Friday 12:0-0:0', 'Saturday 12:0-0:0', 'Sunday 12:0-23:0']""""""",1,"""""""3272 Midland Avenue, Unit B-117""""""",4,-79.2879875,43.8060376,M1V,Taiwanese
Mabu Station,2,2.5,Willowdale,uUq0bMEjt202bMbRHkIcNA,"""""""['Monday 12:0-3:0', 'Tuesday 12:0-3:0', 'Wednesday 12:0-3:0', 'Thursday 12:0-3:0', 'Friday 12:0-4:0', 'Saturday 12:0-4:0', 'Sunday 12:0-3:0']""""""",1,5455-5457 Yonge Street,69,-79.4147657,43.77747195,M2N 5S1,Taiwanese
Kanpai Snack Bar,2,3.5,Cabbagetown,BsFAotQQE1yRVVJEDADaJw,"""""""['Monday 17:0-0:0', 'Tuesday 17:0-0:0', 'Wednesday 17:0-0:0', 'Thursday 17:0-0:0', 'Friday 17:0-0:0', 'Saturday 11:0-0:0', 'Sunday 11:0-0:0']""""""",1,252 Carlton Street,131,-79.36815343,43.66432357,M5A 2L3,Taiwanese
Chatime - Dundas,1,4,Discovery District,ZDDzKXN_JXe7694zePRuTQ,"""""""['Monday 11:0-0:0', 'Tuesday 11:0-0:0', 'Wednesday 11:0-0:0', 'Thursday 11:0-0:0', 'Friday 11:0-1:0', 'Saturday 11:0-1:0', 'Sunday 11:0-0:0']""""""",1,132 Dundas Street W,263,-79.384737,43.6556573,M5G 1C3,Taiwanese
Wiki Star,1,3.5,Willowdale,0LsH3PYy7aemkjgQTI2MVQ,"""""""['Monday 12:0-22:0', 'Tuesday 12:0-22:0', 'Wednesday 12:0-22:0', 'Thursday 12:0-22:0', 'Friday 12:0-22:0', 'Saturday 12:0-22:0']""""""",1,"""""""15 Northtown Way, Suite 20""""""",23,-79.4133778,43.774899,M2N,Taiwanese
Chatime,1,3.5,University of Toronto,KnV-IaFLBNR4aT7c_voXjQ,"""""""['Monday 11:0-23:0', 'Tuesday 11:0-23:0', 'Wednesday 11:0-23:0', 'Thursday 11:0-23:0', 'Friday 11:0-0:0', 'Saturday 12:0-0:0', 'Sunday 12:0-23:0']""""""",1,337 Bloor Street W,37,-79.40065328,43.66725632,M5S 1W7,Taiwanese
Sang-Ho Seafood Restaurant,2,4,Kensington Market,W9Bh_7mfuUrEAdQBJMVOvA,,1,536 Dundas St W,38,-79.3991357,43.6529547,M5T 1H3,Seafood
Mermaid Fish and Grill House,2,4.5,Scarborough,nD3FyISCri8uLP0NJY5CZA,"""""""['Monday 13:0-22:0', 'Tuesday 13:0-22:0', 'Wednesday 13:0-22:0', 'Thursday 13:0-22:0', 'Friday 12:0-23:0', 'Saturday 12:0-23:0', 'Sunday 12:0-22:0']""""""",1,1748 Lawrence Avenue E,69,-79.30822563,43.74276179,M1R 2Y1,Seafood
The Captain's Boil,2,3.5,Downtown Core,bLtC8xJXkd1b6MT0KjnSvw,"""""""['Monday 11:0-23:0', 'Tuesday 11:0-23:0', 'Wednesday 11:0-23:0', 'Thursday 11:0-23:0', 'Friday 11:0-0:0', 'Saturday 11:0-0:0', 'Sunday 11:0-23:0']""""""",1,476 Yonge St,136,-79.3837258,43.6624099,M5G 1G7,Seafood
Little Fin,2,3.5,Downtown Core,x6PA-2j7LpZAYFo2VojmQQ,"""""""['Monday 8:0-20:0', 'Tuesday 8:0-20:0', 'Wednesday 8:0-20:0', 'Thursday 8:0-20:0', 'Friday 8:0-20:0', 'Saturday 11:0-20:0']""""""",1,4 Temperance Street,128,-79.3791616,43.6510992,M5H 1Y4,Seafood
Jacky's Seafood Restaurant,2,1,Scarborough,zbFtY82_ummK4amkT-M04Q,"""""""['Monday 11:0-1:0', 'Tuesday 11:0-1:0', 'Wednesday 11:0-1:0', 'Thursday 11:0-1:0', 'Friday 11:0-1:0', 'Saturday 11:0-1:0', 'Sunday 11:0-1:0']""""""",1,3380 Midland Avenue,4,-79.29010905,43.80924941,M1V 1R4,Seafood
Fishermans Wharf,2,2.5,Corktown,#NAME?,,0,97 Church Street,17,-79.375132,43.65219,M5C,Seafood
