name,price_range,stars,neighborhood,business_id,hours,is_open,address,review_count,longitude,latitude,postal_code,cuisine
Test Turkish,1,4,Church-Wellesley Village,eZQV20xRXOuqR1Hej3nEqA,,1,13 Hayden Street,3,-79.3858528,43.6694377,M4Y 2P2,Turkish
Test Turkish,1,4,Church-Wellesley Village,eZQV20xRXOuqR1Hej3nEqA,,1,13 Hayden Street,3,-79.3858528,43.6694377,M4Y 2P2,Turkish
Test Turkish 2,1,4,Church-Wellesley Village,eZQV20xRXOuqR1Hej3nEqA,,1,13 Hayden Street,3,-79.3858528,43.6694376,M4Y 2P2,Turkish
Test Turkish 3,1,4,Church-Wellesley Village,eZQV20xRXOuqR1Hej3nEqA,,1,13 Hayden Street,3,-79.3858528,43.6694375,M4Y 2P2,Turkish
Test Turkish 4,1,4,Church-Wellesley Village,eZQV20xRXOuqR1Hej3nEqA,,1,13 Hayden Street,3,-79.3858528,43.6694374,M4Y 2P2,Turkish
Test Turkish 4,1,4,Church-Wellesley Village,eZQV20xRXOuqR1Hej3nEqA,,1,13 Hayden Street,3,-79.3858528,43.6694373,M4Y 2P2,Turkish
Test Turkish 4,1,4,Church-Wellesley Village,eZQV20xRXOuqR1Hej3nEqA,,1,13 Hayden Street,3,-79.3858528,43.6694372,M4Y 2P2,Turkish
Test Greek,1,4,Church-Wellesley Village,eZQV20xRXOuqR1Hej3nEqA,,1,13 Hayden Street,3,-79.3858528,43.6694377,M4Y 2P2,Greek
Test Greek 2,1,4,Church-Wellesley Village,eZQV20xRXOuqR1Hej3nEqA,,1,13 Hayden Street,3,-79.3858528,43.6694376,M4Y 2P2,Greek
Test Greek 3,1,4,Church-Wellesley Village,eZQV20xRXOuqR1Hej3nEqA,,1,13 Hayden Street,3,-79.3858528,43.6694375,M4Y 2P2,Greek
Test Greek 4,1,4,Church-Wellesley Village,eZQV20xRXOuqR1Hej3nEqA,,1,13 Hayden Street,3,-79.3858528,43.6694374,M4Y 2P2,Greek
Test Greek 4,1,4,Church-Wellesley Village,eZQV20xRXOuqR1Hej3nEqA,,1,13 Hayden Street,3,-79.3858528,43.6694373,M4Y 2P2,Greek
Test Greek 4,1,4,Church-Wellesley Village,eZQV20xRXOuqR1Hej3nEqA,,1,13 Hayden Street,3,-79.3858528,43.6694372,M4Y 2P2,Greek
