"name","price_range","stars","neighborhood","business_id","hours","is_open","address","review_count","longitude","latitude","postal_code"
"Focaccia Italian Sandwiches","1","4","Church-Wellesley Village","eZQV20xRXOuqR1Hej3nEqA","","1","13 Hayden Street","3","-79.3858528","43.6694379","M4Y 2P2"
"Mare Pizzeria","1","4.5","Kensington Market","aYGqrw1lJHs8Hw0kHC5TVA","""['Monday 10:0-22:0', 'Tuesday 10:0-22:0', 'Wednesday 10:0-22:0', 'Thursday 10:0-22:0', 'Friday 10:0-4:0', 'Saturday 10:0-4:0', 'Sunday 10:0-22:0']""","1","185 Baldwin Street","15","-79.4009673","43.6547607","M5T 1L8"
"Dante's Inferno Paninoteca","1","4.5","Wychwood","Dnq4w6ajMifZFFTIR5cGxw","""['Tuesday 11:0-21:0', 'Wednesday 11:0-21:0', 'Thursday 11:0-21:0', 'Friday 11:0-21:0', 'Saturday 11:0-21:0']""","1","1151 Davenport Road","9","-79.4316635","43.6745606","M6H 2G4"
"Domino's Pizza","1","5","Etobicoke","UsFFaNUWG5u7f9rHpJBHRQ","""['Monday 11:0-0:0', 'Tuesday 11:0-0:0', 'Wednesday 11:0-0:0', 'Thursday 11:0-0:0', 'Friday 11:0-1:0', 'Saturday 11:0-1:0', 'Sunday 11:0-0:0']""","1","4204 Dundas Street W","4","-79.5109773","43.6604605","M8X 1Y6"
"Weston Favourites","1","3.5","","wPxQQbwXfqnJEMirpwcPnw","""['Monday 11:0-23:0', 'Tuesday 11:0-23:0', 'Wednesday 11:0-23:0', 'Thursday 11:0-23:0', 'Friday 11:0-0:0', 'Saturday 11:0-0:0', 'Sunday 12:0-22:0']""","1","1986 Weston Road","3","-79.51934931","43.7008781","M9N 1W8"
"Pizza La Rosa","1","4","","ixGb4NLfgD90wZHlw94rLw","""['Monday 11:0-22:0', 'Tuesday 11:0-22:0', 'Wednesday 11:0-22:0', 'Thursday 11:0-23:0', 'Friday 11:0-23:0', 'Saturday 12:0-23:0', 'Sunday 17:0-22:0']""","1","""2555 Victoria Park Avenue, Unit 19""","47","-79.3218593","43.7725733","M1T 1A3"
"Honey B Hives Restaurant","1","3.5","Scarborough","L_thK7r3K_h5M4tV7amEKQ","""['Monday 0:0-0:0', 'Tuesday 0:0-0:0', 'Wednesday 0:0-0:0', 'Thursday 0:0-0:0', 'Friday 0:0-0:0', 'Saturday 0:0-0:0', 'Sunday 0:0-0:0']""","1","2816 Markham Road","118","-79.24791521","43.82298187","M1V 4C3"
"Cucinetta","1","3","","M7gB_MsmKwjSO8pk1rQ00w","""['Monday 8:0-22:0', 'Tuesday 8:0-22:0', 'Wednesday 8:0-22:0', 'Thursday 8:0-22:0', 'Friday 8:0-22:0', 'Saturday 9:0-20:0', 'Sunday 9:0-20:0']""","1","4700 Keele Street","6","-79.5014336","43.7742392","M3J 1P3"
"Centro Trattoria & Formaggio","1","3.5","Corso Italia","EQ1cOH_mr5VyHGjhgz_vDA","""['Monday 9:0-18:0', 'Tuesday 9:0-18:0', 'Wednesday 9:0-18:0', 'Thursday 9:0-18:0', 'Friday 9:0-18:0', 'Saturday 9:0-18:0']""","1","1224 St. Clair Avenue W","4","-79.444842","43.677714","M6E 1B4"
"Sorella Toronto","1","4.5","The Junction","GCYoo69k-vI-KFF3rsFuTQ","","1","2763 Dundas Street W","8","-79.46149387","43.66514426","M6P 1Y3"
"Amato Pizza","1","2","Leslieville","gQbfVuWEElYFqsS0qbUbpQ","""['Monday 10:0-1:0', 'Tuesday 10:0-1:0', 'Wednesday 10:0-1:0', 'Thursday 10:0-1:0', 'Friday 10:0-2:0', 'Saturday 10:0-2:0', 'Sunday 10:0-1:0']""","1","1056 Queen Street E","7","-79.3374374","43.6618962","M4M 1K3"
"Arbia Cafe Eatery","1","4.5","Ryerson","mactLKv5GEgj6FdsYkdLVQ","""['Monday 7:0-21:0', 'Tuesday 7:0-21:0', 'Wednesday 7:0-21:0', 'Thursday 7:0-21:0', 'Friday 7:0-20:0']""","0","113 Bond Street","12","-79.3785241","43.6571711","M5B 1Y2"
"Bitondo's Pizzeria","1","4","Little Italy","aIBvcOjkAURJJ-UH0G-s0g","""['Monday 11:0-23:0', 'Tuesday 11:0-23:0', 'Wednesday 11:0-23:0', 'Thursday 11:0-23:0', 'Friday 11:0-23:0', 'Saturday 11:0-23:0', 'Sunday 11:0-23:0']""","1","11 Clinton Street","105","-79.4133282","43.6538683","M6J 2N7"
"Pastissima","1","4","","g1j8COaztNostGlxssCCVA","""['Monday 9:0-19:0', 'Tuesday 9:0-19:0', 'Wednesday 9:0-19:0', 'Thursday 9:0-19:0', 'Friday 9:0-19:0', 'Saturday 10:0-18:0', 'Sunday 10:0-18:0']""","1","2633 Yonge Street","8","-79.3999542","43.7153388","M4P 2J6"
"Tre Mari Bakery","1","4.5","Corso Italia","02Ycww2etUAxorZb5gIM8Q","""['Monday 7:0-20:0', 'Tuesday 7:0-20:0', 'Wednesday 7:0-20:0', 'Thursday 7:0-20:0', 'Friday 7:0-20:0', 'Saturday 7:0-21:0', 'Sunday 7:0-20:0']""","1","1311 Saint Clair Avenue W","50","-79.4487201","43.6765075","M6E 1C2"
"Nonna's Place","1","4","The Junction","6bttTDLU4j4GeG7QnvU84Q","","1","1419 Bloor St W","11","-79.447717","43.6572759","M6P 3L4"
"The Fresh Italian Eatery","1","4","Downtown Core","EY4xsGDe0euyusOfAb3Cwg","","1","42-109 McCaul Street","12","-79.39073145","43.6542189","M5T 2W7"
"Pastalicious","1","3","Liberty Village","B44Cx8VNrRlrgdfXHuaq-w","""['Monday 11:0-19:0', 'Tuesday 11:0-19:0', 'Wednesday 11:0-19:0', 'Thursday 11:0-19:0', 'Friday 11:0-19:0', 'Saturday 11:0-18:0']""","0","""171 E Liberty Village, Unit135""","7","-79.4192086","43.6383173","M6K 3P6"
"Primo Veal","1","4.5","Scarborough","4eP4sX4NXyDSdGBE8RAoJQ","""['Monday 11:0-19:0', 'Tuesday 11:0-19:0', 'Wednesday 11:0-19:0', 'Thursday 11:0-19:0', 'Friday 11:0-19:0']""","1","3105 Sheppard Avenue E","38","-79.3176769","43.7765181","M1T 3J7"
"John's Classic Pizza","1","3.5","Little Italy","zZ5EM6ON8l7R32HwDabd2Q","","0","591 College St","6","-79.4135478","43.6552044","M6G 1B2"
"Amato Real Pizza","1","3","High Park","ZyS5VIWXTQoqMfuv3UgtcQ","""['Monday 11:0-1:0', 'Tuesday 11:0-1:0', 'Wednesday 11:0-1:0', 'Thursday 11:0-1:0', 'Friday 11:0-2:0', 'Saturday 11:0-2:0', 'Sunday 11:0-1:0']""","1","2385 Dundas Street W","13","-79.4530819","43.6576103","M6P 1X2"
"Menchella's Gourmet Pizza","1","2.5","The Annex","u-hO4f4EK-riKNJbkxZW0Q","""['Monday 11:0-23:0', 'Tuesday 11:0-23:0', 'Wednesday 11:0-23:0', 'Thursday 11:0-20:0', 'Friday 11:0-4:0', 'Saturday 11:0-4:0', 'Sunday 11:0-23:0']""","1","454 Bloor Street W","9","-79.4090963","43.6657121","M5S 1X8"
"Domino's Pizza","1","2","Brockton Village","JZB9Zjex7mlJNu7lyJ08Qw","","1","1671 Dundas Street West","5","-79.43773516","43.65010753","M6K 1V2"
"Riviera Bakery","1","3.5","Little Italy","eEKfOX6KtQmLgb8z-1VfUA","""['Monday 8:0-20:0', 'Tuesday 8:0-20:0', 'Wednesday 8:0-20:0', 'Thursday 8:0-20:0', 'Friday 8:0-20:0', 'Saturday 8:0-20:0', 'Sunday 8:0-20:0']""","1","576 College Street","33","-79.4130997","43.6554884","M6G 1B3"
"Pizzaiolo","1","3","Yonge and St. Clair","1gL9mw6HRbetCb9vOBoPQw","","1","13 St Clair Ave W","23","-79.394666","43.6877499","M4V"
"Pizza Pizza","1","2.5","Yorkville","DitQU2Y-WONolisjxP-2nQ","""['Monday 11:0-2:0', 'Tuesday 11:0-2:0', 'Wednesday 11:0-2:0', 'Thursday 11:0-3:0', 'Friday 11:0-3:0', 'Saturday 11:0-3:0', 'Sunday 11:0-2:0']""","1","826 Yonge Street","9","-79.3874048","43.6711886","M4W 2H1"
"Pizzaiolo","1","3","Entertainment District","UUlp5Pkpq7w5pOiX6esJ9Q","""['Monday 10:0-23:0', 'Tuesday 10:0-23:0', 'Wednesday 10:0-23:0', 'Thursday 10:0-23:0', 'Friday 10:0-4:0', 'Saturday 11:0-4:0', 'Sunday 11:0-22:0']""","1","123 Spadina Avenue","9","-79.3954536","43.6471851","M5V 2K8"
